2019-05-29 01:51:54.623606:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 01:52:13.882795:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 02:08:58.918951:  Not all parameters were used in the SQL statement
2019-05-29 02:09:46.508406:  Not all parameters were used in the SQL statement
2019-05-29 02:11:12.575584:  1146 (42S02): Table 'websim.combo' doesn't exist
2019-05-29 02:11:32.396884:  1265 (01000): Data truncated for column 'created_at' at row 1
2019-05-29 02:12:59.765920:  1406 (22001): Data too long for column 'settings' at row 1
2019-05-29 02:13:34.508953:  1406 (22001): Data too long for column 'grade' at row 1
2019-05-29 02:14:16.190934:  1406 (22001): Data too long for column 'submitted' at row 1
2019-06-02 22:50:23.078312: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:23.375974: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:23.733865: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:23.772307: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:27.062004: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:27.949837: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:28.000015: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:28.121959: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:28.710527: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:29.388683: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:29.400260: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:29.411668: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:32.710300: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:32.872827: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:33.674805: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:33.691926: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:33.765234: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:34.055259: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:34.394723: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:35.024721: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:35.056253: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:35.068411: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:38.471566: LOG    :  Python type Session cannot be converted
